Date,Open,High,Low,Close,Vol,OI
8/24/09,1083.4,1087.1,1064.3,1072.3,71746,251219
8/25/09,1072.4,1084.9,1071.7,1074.6,71867,253616
8/26/09,1074.8,1080.3,1069.8,1074.4,63967,248234
8/27/09,1075.5,1080.9,1071.2,1075.9,56984,249601
8/28/09,1078.1,1093.2,1078.1,1087.4,81927,267339
8/31/09,1086,1090.7,1072.9,1082.1,70301,256664
9/1/09,1082.1,1087.3,1076.1,1085.1,88555,259441
9/2/09,1086.7,1111,1081.1,1107.1,141263,283537
9/3/09,1108,1128.1,1104.7,1126.3,145031,296090
9/4/09,1122.9,1127,1115.6,1125.3,106793,308800
9/8/09,1125.5,1138.3,1121.2,1128.4,152273,321081
9/9/09,1127.4,1133.6,1117.4,1125.7,119586,327656
9/10/09,1122.1,1129.1,1111.8,1125.4,115103,327934
9/11/09,1127.1,1142.3,1124.9,1135,125673,342467
9/14/09,1136.3,1139.4,1123,1129.7,89645,329572
9/15/09,1129.5,1140.1,1121.6,1134.9,109670,342494
9/16/09,1137.6,1151.9,1136.5,1148.8,115086,344699
9/17/09,1146.9,1154.4,1139.2,1142.1,111116,337920
9/18/09,1143.1,1148.1,1136,1138.9,97086,333017
9/21/09,1135.4,1136.9,1124.9,1133.5,89712,336989
9/22/09,1133.6,1150.1,1132.8,1144.1,92090,335788
9/23/09,1144.7,1149,1135.8,1143,111428,340458
9/24/09,1137.3,1149.6,1119.9,1127.5,168429,334822
9/25/09,1121.4,1129.1,1114.1,1120.2,120527,330783
9/28/09,1121.7,1126.6,1115.3,1122.7,82404,327393
9/29/09,1121.2,1125.8,1114.7,1123,100252,326867
9/30/09,1122.6,1139.4,1121.3,1137.9,135787,332820
10/1/09,1137.9,1139.7,1127.2,1129.3,109429,327422
10/2/09,1127.6,1137.4,1115.6,1132.9,133287,330351
10/5/09,1132.6,1147.5,1130.2,1146.4,98600,330495
10/6/09,1146.4,1173.6,1145.2,1168.3,196564,356690
10/7/09,1171.3,1178.3,1166.4,1173,132445,352047
10/8/09,1174.3,1191.3,1172.4,1184.9,185521,366579
10/9/09,1184.5,1185.3,1173.3,1177.2,115595,365830
10/12/09,1178.6,1189.1,1176.6,1186.1,68815,360796
10/13/09,1183.6,1198.3,1180.8,1193.6,134715,363868
10/14/09,1193.9,1200.6,1185.1,1193.3,125127,369448
10/15/09,1191.9,1195.4,1174.8,1179.2,145001,369025
10/16/09,1179.6,1186.5,1172.3,1180.1,117942,371405
10/19/09,1182.1,1194.4,1177.2,1186.7,88313,363215
10/20/09,1193.6,1197.6,1181.2,1187.2,113519,360583
10/21/09,1184.4,1194.3,1176.7,1193.1,132523,361452
10/22/09,1188.1,1191.3,1180.6,1187.2,104604,353655
10/23/09,1189.7,1197.4,1179,1185,146645,358606
10/26/09,1184.1,1189.4,1166.7,1171.4,156682,353459
10/27/09,1167.1,1172.9,1161.5,1164,142228,340080
10/28/09,1168.6,1171.2,1155.5,1159.1,143542,341419
10/29/09,1156.3,1177,1155.5,1175.7,118318,335346
10/30/09,1175.7,1177.8,1164,1169,125450,317707
11/2/09,1172,1192,1170.8,1182.6,126223,324088
11/3/09,1189,1217.1,1184.1,1213.5,195686,334277
11/4/09,1214.2,1227.1,1209.1,1215.9,176018,331767
11/5/09,1222.7,1223.8,1212.9,1217.9,94847,326008
11/6/09,1219.2,1230.5,1215.1,1224.3,154420,320497
11/9/09,1226.6,1240.3,1224.6,1231.1,120544,310383
11/10/09,1232.3,1238.3,1225.8,1231.1,135521,306792
11/11/09,1234.6,1247.7,1234.2,1235.2,140385,291155
11/12/09,1245.8,1252,1231.3,1245.3,161084,286517
11/13/09,1231.9,1248.3,1229.8,1245.3,128253,279592
11/16/09,1248.2,1272.8,1248.1,1268,171727,269945
11/17/09,1268.7,1270.6,1256.4,1269.8,133122,265480
11/18/09,1269.5,1282,1264.6,1270.5,169741,252041
11/19/09,1272.6,1275.4,1258.6,1275.4,173606,238516
11/20/09,1273.6,1293.3,1261.1,1293.3,161336,220062
11/23/09,1280.6,1302.6,1280.2,1294.4,207978,193663
11/24/09,1293,1315.6,1286.3,1315.6,232076,94544
11/25/09,1298.2,1321.4,1295.4,1315.6,48592,44366
11/27/09,1319.4,1323.6,1258.7,1304.1,110114,17426
11/30/09,1309,1312,1292,1309.3,164888,364298
12/1/09,1308.4,1331,1303.4,1327.2,165229,360947
12/2/09,1324,1345.4,1323.5,1340,181610,358524
12/3/09,1343.5,1354.5,1332.2,1345.3,210153,365116
12/4/09,1335.7,1340.9,1274.4,1296.5,354055,366981
12/7/09,1287.3,1293.2,1263.1,1291,264294,347630
12/8/09,1286.8,1297.2,1247.9,1247.9,228905,344371
12/9/09,1256.5,1275.4,1244,1253.2,251659,340184
12/10/09,1257.1,1264.7,1246.9,1246.9,159287,337300
12/11/09,1260.3,1267.7,1242.6,1250.8,203852,337982
12/14/09,1241.6,1255.9,1238.7,1250,130320,337133
12/15/09,1255.2,1263.2,1239,1263.2,147241,340632
12/16/09,1252.7,1269.5,1234.4,1234.4,152437,337506
12/17/09,1265.7,1269.9,1222.7,1238.5,223195,333946
12/18/09,1226,1266.3,1226,1238.5,160444,324816
12/21/09,1238.9,1247.8,1217.8,1223,134734,330298
12/22/09,1219.7,1225.2,1202.2,1213.7,182486,325781
12/23/09,1212.1,1223.8,1207.1,1221,99747,326556
12/24/09,1215.6,1233.9,1215.3,1231.8,56912,322941
12/28/09,1235,1241.5,1229.1,1234.9,73189,324647
12/29/09,1235.9,1236.2,1224.1,1225.1,97217,318077
12/30/09,1225.5,1225.7,1213.6,1219.5,91654,319179
12/31/09,1221.1,1234.6,1220.1,1223.2,64594,315157
1/4/10,1226,1251.6,1220.8,1245.3,155479,323133
1/5/10,1249,1256.6,1242.5,1245.7,156414,316200
1/6/10,1245.5,1268,1243.8,1263.5,176903,313902
1/7/10,1266,1266.5,1255.7,1260.7,121150,316766
1/8/10,1258.5,1267,1246.5,1265.9,212621,304044
1/11/10,1265.9,1290,1265.9,1278.4,173768,303821
1/12/10,1279,1285.3,1251.3,1256.4,233123,286147
1/13/10,1256,1265.9,1245.5,1263.8,217628,269547
